,doc_id,agreement_id,sentence_number,entity,entity_type,per_correction,corrected_entity_person,person_affiliation,org_correction,corrected_entity_org,entity_correction,entity_abr
94,0,1321,39, Chin State, ORG ,,Other,,,Other,n/a,
95,0,1321,41, Chin State Union Government, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
96,0,1321,43, Chin State, GPE ,,Other,,,Other,n/a,
97,0,1321,43, Tonzang Township, GPE ,,Other,,,Other,n/a,
98,0,1321,43, Paletwa Township, LOC ,,Other,,,Other,n/a,
99,0,1321,45, Chin National, ORG ,,Other,,,Other,n/a,
100,0,1321,45, Chin, PERSON ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
101,0,1321,49, Social Cultural Matters, ORG ,,Other,,,Other,n/a,
102,0,1321,50, Union Government, ORG ,,Other,,Government of the Republic of the Union of Myanmar,ORG,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
103,0,1321,50, Chin State, GPE ,,Other,,,Other,n/a,
104,0,1321,52, Chin, PERSON ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
105,0,1321,54, Burma, GPE ,,Other,,,Other,n/a,
106,0,1321,54, Union Government, ORG ,,Other,,Government of the Republic of the Union of Myanmar,ORG,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
107,0,1321,54, Chin State Government, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
108,0,1321,54, Chin National, ORG ,,Other,,,Other,n/a,
109,0,1321,62, Chin National, ORG ,,Other,,,Other,n/a,
110,0,1321,62, Chin State, ORG ,,Other,,,Other,n/a,
111,0,1321,64, Chin, PERSON ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
112,0,1321,64, Chin State, GPE ,,Other,,,Other,n/a,
113,0,1321,64, Union Government, ORG ,,Other,,Government of the Republic of the Union of Myanmar,ORG,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
114,0,1321,64, Chin State Government, ORG ,,Other,,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
115,0,1321,64, Chin National, ORG ,,Other,,,Other,n/a,
116,0,1321,64, Naypyidaw, GPE ,,Other,,,Other,n/a,
117,0,1321,64, Yangon, GPE ,,Other,,,Other,n/a,
118,0,1321,64, Mandalay, ORG ,,Other,,,Other,n/a,
119,0,1321,64, Kalay, ORG ,,Other,,,Other,n/a,
120,0,1321,64, Sittwe, PERSON ,,Other,,,Other,n/a,
121,0,1321,64, Seih, PERSON ,,Other,,,Other,n/a,
122,1,1436,0, Republic Union Myanmar, GPE ,,Other,,,Other,n/a,
123,1,1436,0, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
124,1,1436,0, Government Republic Union Myanmar, ORG ,,Other,,Government of the Republic of the Union of Myanmar,ORG,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
125,1,1436,0, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
126,1,1436,2, Nationwide Ceasefire Agreement, ORG ,,Other,,,Other,n/a,
127,1,1436,4, Panglong, ORG ,,Other,,,Other,n/a,
128,1,1436,5, Reach, ORG ,,Other,,,Other,n/a,
129,1,1436,5, Republic Union Myanmar, GPE ,,Other,,,Other,n/a,
130,1,1436,6, c. Discuss, PERSON ,,Other,,,Other,n/a,
131,1,1436,6, Pyidaungsu Tatmadaw, PERSON ,,Other,,Tatmadaw,ORG,Tatmadaw,Tatmadaw
132,1,1436,7, Republic Union Myanmar, GPE ,,Other,,,Other,n/a,
133,1,1436,10, Republic Union Myanmar, GPE ,,Other,,,Other,n/a,
134,1,1436,15, Republic Union Myanmar, GPE ,,Other,,,Other,n/a,
135,1,1436,17, Republic Union Myanmar, GPE ,,Other,,,Other,n/a,
136,1,1436,17, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
137,1,1436,18, Nationwide Ceasefire Agreement, ORG ,,Other,,,Other,n/a,
138,1,1436,22, Republic Union Myanmar, GPE ,,Other,,,Other,n/a,
139,1,1436,22, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
140,1,1436,23, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
141,1,1436,23, Nationwide Ceasefire Agreement, ORG ,,Other,,,Other,n/a,
142,1,1436,23, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
143,1,1436,25, Tatmadaw, PERSON ,,Other,,Tatmadaw,ORG,Tatmadaw,Tatmadaw
144,1,1436,27, Nationwide Ceasefire Agreement, ORG ,,Other,,,Other,n/a,
145,1,1436,27, Joint Ceasefire Monitoring Committee, ORG ,,Other,,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
146,1,1436,29, Tatmadaw, PERSON ,,Other,,Tatmadaw,ORG,Tatmadaw,Tatmadaw
147,1,1436,31, c. Avoid, PERSON ,,Other,,,Other,n/a,
148,1,1436,35, Government Republic Union Myanmar, ORG ,,Other,,Government of the Republic of the Union of Myanmar,ORG,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
149,1,1436,43, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
150,1,1436,45, Tatmadaw, PERSON ,,Other,,Tatmadaw,ORG,Tatmadaw,Tatmadaw
151,1,1436,45, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
152,1,1436,48, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
153,1,1436,52, Tatmadaw, PERSON ,,Other,,Tatmadaw,ORG,Tatmadaw,Tatmadaw
154,1,1436,55, Tatmadaw, PERSON ,,Other,,Tatmadaw,ORG,Tatmadaw,Tatmadaw
155,1,1436,56, Avoid, ORG ,,Other,,,Other,n/a,
156,1,1436,57, c. Avoid, PERSON ,,Other,,,Other,n/a,
157,1,1436,66, healthcare, ORG ,,Other,,,Other,n/a,
158,1,1436,77, Republic Union Myanmar, GPE ,,Other,,,Other,n/a,
159,1,1436,77, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
160,1,1436,77, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
161,1,1436,77, Internally Displaced Persons, PERSON ,,Other,,,Other,n/a,
162,1,1436,77, Government Republic Union Myanmar, ORG ,,Other,,Government of the Republic of the Union of Myanmar,ORG,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
163,1,1436,82, Joint Ceasefire Monitoring Committee, ORG ,,Other,,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
164,1,1436,83, Nationwide Ceasefire Agreement Joint Implementation Coordination Meeting, ORG ,,Other,,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
165,1,1436,83, Joint Ceasefire Monitoring Committee, ORG ,,Other,,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
166,1,1436,83, Joint Ceasefire Monitoring Committee, ORG ,,Other,,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
167,1,1436,83, Union Peace - Making Work Committee, ORG ,,Other,,Union Peace Dialogue Joint Committee (UPDJC),ORG,Union Peace Dialogue Joint Committee (UPDJC),UPDJC
168,1,1436,83, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
169,1,1436,84, Joint Ceasefire Monitoring Committee, ORG ,,Other,,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
170,1,1436,85, Joint Ceasefire Monitoring Committee, ORG ,,Other,,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
171,1,1436,87, Nationwide Ceasefire Agreement Joint Implementation Coordination Meeting, ORG ,,Other,,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
172,1,1436,88, Nationwide Ceasefire Agreement Joint Implementation Coordination Meeting, ORG ,,Other,,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
173,1,1436,89, Internally Displaced Persons, PERSON ,,Other,,,Other,n/a,
174,1,1436,91, Nationwide Ceasefire Agreement, ORG ,,Other,,,Other,n/a,
175,1,1436,93, Joint Ceasefire Monitoring Committee, ORG ,,Other,,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
176,1,1436,95, Joint Ceasefire Monitoring Committee, ORG ,,Other,,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
177,1,1436,95, Committee, ORG ,,Other,,,Other,n/a,
178,1,1436,96, Liaison Offices, ORG ,,Other,,,Other,n/a,
179,1,1436,97, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
180,1,1436,101, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
181,1,1436,103, Nationwide Ceasefire Agreement, ORG ,,Other,,,Other,n/a,
182,1,1436,105, Republic Union Myanmar Government, GPE ,,Other,,,Other,n/a,
183,1,1436,105, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
184,1,1436,105, a. Signing, PERSON ,,Other,,,Other,n/a,
185,1,1436,105, Nationwide Ceasefire Agreement, ORG ,,Other,,,Other,n/a,
186,1,1436,106, “ Framework Political Dialogue, ORG ,,Other,,,Other,n/a,
187,1,1436,106, Government Republic Union Myanmar, ORG ,,Other,,Government of the Republic of the Union of Myanmar,ORG,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
188,1,1436,106, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
189,1,1436,107, Political Dialogue, ORG ,,Other,,,Other,n/a,
190,1,1436,110, Pyidaungsu Hluttaw, GPE ,,Other,,Hluttaw,ORG,Hluttaw,Hluttaw
191,1,1436,113, Republic Union Myanmar Government, GPE ,,Other,,,Other,n/a,
192,1,1436,113, Ethnic Armed  Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
193,1,1436,114, Joint Monitoring Committee, ORG ,,Other,,Joint Monitoring Committee (JMC),ORG,Joint Monitoring Committee (JMC),JMC
194,1,1436,114, Union Peace Dialogue Joint Committee, ORG ,,Other,,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
195,1,1436,116, Nationwide Ceasefire Agreement, ORG ,,Other,,,Other,n/a,
196,1,1436,120, Hluttaws, ORG ,,Other,,Hluttaw,ORG,Hluttaw,Hluttaw
197,1,1436,120, Tatmadaw, PERSON ,,Other,,Tatmadaw,ORG,Tatmadaw,Tatmadaw
198,1,1436,120, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
199,1,1436,121, Framework Political Dialogue, ORG ,,Other,,,Other,n/a,
200,1,1436,122, Political Dialogue, ORG ,,Other,,,Other,n/a,
201,1,1436,128, Nationwide Ceasefire Agreement, ORG ,,Other,,,Other,n/a,
202,1,1436,130, Nationwide Ceasefire Agreement, ORG ,,Other,,,Other,n/a,
203,1,1436,130, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
204,1,1436,132, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
205,1,1436,140, Extractive Industries Transparency Initiative, ORG ,,Other,,,Other,n/a,
206,1,1436,140, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
207,1,1436,141, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
208,1,1436,141, Ethnic Armed Organization, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
209,1,1436,142, Pyidaungsu Hluttaw, PERSON ,,Other,,Hluttaw,ORG,Hluttaw,Hluttaw
210,1,1436,143, Pyidaungsu Hluttaw, GPE ,,Other,,Hluttaw,ORG,Hluttaw,Hluttaw
211,1,1436,147, Myanmar, GPE ,,Other,,,Other,n/a,
212,1,1436,148, Myanmar, GPE ,,Other,,,Other,n/a,
213,1,1436,151, Nationwide Ceasefire Agreement Joint Implementation Coordination Meetings, ORG ,,Other,,,Other,n/a,
214,1,1436,153, Nationwide Ceasefire Agreement, ORG ,,Other,,,Other,n/a,
215,1,1436,156, Nationwide Ceasefire Agreement Joint Implementation Coordination Meeting, ORG ,,Other,,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
216,1,1436,161, Nationwide Ceasefire Agreement, ORG ,,Other,,,Other,n/a,
217,1,1436,161, Republic Union Myanmar, GPE ,,Other,,,Other,n/a,
218,1,1436,161, Ethnic Armed Organizations, ORG ,,Other,,Ethnic Armed Organizations (EAO),ORG,Ethnic Armed Organizations (EAO),EAO
219,1,1436,162, Leaders Executive, ORG ,,Other,,,Other,n/a,
220,1,1436,162, Hluttaw, ORG ,,Other,,Hluttaw,ORG,Hluttaw,Hluttaw
221,1,1436,162, Tatmadaw, PERSON ,,Other,,Tatmadaw,ORG,Tatmadaw,Tatmadaw
222,1,1436,168, JMC, ORG ,,Other,,Joint Monitoring Committee (JMC),ORG,Joint Monitoring Committee (JMC),JMC
223,1,1436,168, CBO, ORG ,,Other,,,Other,n/a,
224,1,1436,169, Nationwide Ceasefire Coordination Team, ORG ,,Other,,,Other,n/a,
225,1,1436,169, NCCT, ORG ,,Other,,,Other,n/a,
226,1,1436,169, UPWC, ORG ,,Other,,Union Peacemaking Working Committee (UPWC),ORG,Union Peacemaking Working Committee (UPWC),UPWC
227,2,1518,0, Working Committee, ORG ,,Other,,,Other,n/a,
228,2,1518,0, FDA, ORG ,,Other,,Food and Drug Administration (FDA),ORG,Food and Drug Administration (FDA),FDA
229,2,1518,0, NBF, ORG ,,Other,,,Other,n/a,
230,2,1518,0, NLD, ORG ,,Other,,National League Democracy (NLD),ORG,National League Democracy (NLD),NLD
231,2,1518,0, NUP, ORG ,,Other,,,Other,n/a,
232,2,1518,0, UNA, ORG ,,Other,,United Nationalities Alliance (UNA),ORG,United Nationalities Alliance (UNA),UNA
233,2,1518,0, UEC, ORG ,,Other,,Union Election Commission (UEC),ORG,Union Election Commission (UEC),UEC
234,2,1518,0, Yangon, GPE ,,Other,,,Other,n/a,
235,2,1518,3, Republic Union Myanmar, GPE ,,Other,,,Other,n/a,
236,2,1518,8, CoC, ORG ,,Other,,,Other,n/a,
237,2,1518,8, Republic Union Myanmar, GPE ,,Other,,,Other,n/a,
238,2,1518,11, CoC, ORG ,,Other,,,Other,n/a,
239,2,1518,17, CoC, ORG ,,Other,,,Other,n/a,
240,2,1518,17, Republic Myanmar, GPE ,,Other,,,Other,n/a,
241,2,1518,18, Pyithu Hluttaw Law, LOC ,,Other,,,Other,n/a,
242,2,1518,18, Amoytha Hluttaw Law, PERSON ,,Other,,,Other,n/a,
243,2,1518,18, State, ORG ,,Other,,,Other,n/a,
244,2,1518,20, CoC, ORG ,,Other,,,Other,n/a,
245,2,1518,21, CoC, ORG ,,Other,,,Other,n/a,
246,2,1518,22, CoC, ORG ,,Other,,,Other,n/a,
247,2,1518,22, Republic Union Myanmar, GPE ,,Other,,,Other,n/a,
248,2,1518,23, CoC, ORG ,,Other,,,Other,n/a,
249,2,1518,23, Myanmar, GPE ,,Other,,,Other,n/a,
250,2,1518,26, CoC, ORG ,,Other,,,Other,n/a,
251,2,1518,39, Union Election Commission, ORG ,,Other,,,Other,n/a,
252,2,1518,45, Republic Union Myanmar, GPE ,,Other,,,Other,n/a,
253,2,1518,47, UEC, ORG ,,Other,,Union Election Commission (UEC),ORG,Union Election Commission (UEC),UEC
254,2,1518,55, Party, ORG ,,Other,,,Other,n/a,
255,2,1518,55, Party, ORG ,,Other,,,Other,n/a,
256,2,1518,59, Political Parties Registration Law Chapter II, ORG ,,Other,,,Other,n/a,
257,2,1518,78, Myanmar Police Force, ORG ,,Other,,,Other,n/a,
258,2,1518,81, Hluttaw Laws, PERSON ,,Other,,,Other,n/a,
259,2,1518,81, Chapter XIV, PERSON ,,Other,,,Other,n/a,
260,2,1518,84, UEC, ORG ,,Other,,Union Election Commission (UEC),ORG,Union Election Commission (UEC),UEC
261,2,1518,89, Electoral Management Body, ORG ,,Other,,,Other,n/a,
262,2,1518,89, Union Election Commission, ORG ,,Other,,,Other,n/a,
263,2,1518,97, Party, ORG ,,Other,,,Other,n/a,
264,2,1518,116, Hluttaw Election, LOC ,,Other,,,Other,n/a,
265,2,1518,116, Chapter XIII, ORG ,,Other,,,Other,n/a,
266,2,1518,117, CoC, ORG ,,Other,,,Other,n/a,
267,2,1518,119, State, ORG ,,Other,,,Other,n/a,
268,2,1518,124, Gender, ORG ,,Other,,,Other,n/a,
269,2,1518,132, CoC, ORG ,,Other,,,Other,n/a,
270,2,1518,133, Party, ORG ,,Other,,,Other,n/a,
271,2,1518,135, CoC, ORG ,,Other,,,Other,n/a,
272,2,1518,138, CoC, ORG ,,Other,,,Other,n/a,
273,2,1518,138, UEC, ORG ,,Other,,Union Election Commission (UEC),ORG,Union Election Commission (UEC),UEC
274,2,1518,140, Committee, ORG ,,Other,,,Other,n/a,
275,2,1518,140, Committee, ORG ,,Other,,,Other,n/a,
276,2,1518,142, CoC Monitoring Committee, ORG ,,Other,,,Other,n/a,
277,2,1518,143, Committee, ORG ,,Other,,,Other,n/a,
278,2,1518,145, CoC, ORG ,,Other,,,Other,n/a,
279,2,1518,147, CoC, ORG ,,Other,,,Other,n/a,
280,2,1518,147, CoC, ORG ,,Other,,,Other,n/a,
281,2,1518,147, CoC, ORG ,,Other,,,Other,n/a,
282,3,1519,0, Political Dialogue, ORG ,,Other,,,Other,n/a,
283,3,1519,0, Union Peace Dialogue Joint Committee, ORG ,,Other,,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
284,3,1519,0, UPDJC, ORG ,,Other,,Union Peace Dialogue Joint Committee (UPDJC),ORG,Union Peace Dialogue Joint Committee (UPDJC),UPDJC
285,3,1519,0, Parliament, ORG ,,Other,,,Other,n/a,
286,3,1519,0, Tatmadaw, ORG ,,Other,,Tatmadaw,ORG,Tatmadaw,Tatmadaw
